Taipei-city,中山區,樂群二路１１６巷６１弄２５號,明水上東,10,18,107,None
Taipei-city,松山區,八德路二段３９３號,敦化雅極,14,192,106.8,19
Taipei-city,大安區,新生南路一段１６１巷１８號,大安優境,13,8,106.6,None
Taipei-city,大安區,建國南路一段１５２號,華格納,14,30,106.5,54
Taipei-city,信義區,仁愛路四段５１６號,仁愛逸仙,14,20,106.5,None
Taipei-city,中正區,羅斯福路三段２１６號,台大美學院,15,54,106.4,61
Taipei-city,中正區,仁愛路二段１６號,上海商銀仁愛大廈,11,32,106.4,None
Taipei-city,松山區,八德路二段３６６巷３１號,基泰敦南,8,40,106.1,None
Taipei-city,信義區,松德路１３５號,國美國家美術館,10,29,106,201
Taipei-city,信義區,忠孝東路五段２３８號,元大101,15,75,105.9,None
Taipei-city,大安區,信義路三段１５６號,信義翡麗,12,112,105.7,18
Taipei-city,大安區,瑞安街８１巷１２弄１６號,瑞安懷石A區,11,16,105.7,None
Taipei-city,大安區,羅斯福路二段１１１號,墨花香,3,55,105.6,None
Taipei-city,中正區,臨沂街３３巷３３號,和旺雙沂,6,11,105.4,None
Taipei-city,中山區,樂群二路１１６巷３３號,國美大真,6,20,105.1,None
Taipei-city,大安區,青田街７巷１８號,青田大師,14,6,105.1,92
Taipei-city,大安區,信義路二段５２號,信義美學,10,68,104.6,None
Taipei-city,中山區,朱崙街５０號,達官苑,6,61,104.1,None
Taipei-city,信義區,松德路１８２號,2001廣場,31,100,104,42
Taipei-city,中山區,朱崙街//龍江路,鈞藏,5,23,103.9,None
Taipei-city,大安區,光復南路６３０號,昇陽GRAND,12,181,103.7,46
Taipei-city,中正區,泰安街//金山南路一段,泰安連雲-接雲樓,12,25,103.2,None
Taipei-city,中正區,南昌路一段８３號,檀廂,2,74,103.2,None
Taipei-city,信義區,忠孝東路五段２３６巷４３號,冠德花園城堡,21,72,102.9,46
Taipei-city,中正區,臨沂街５９號,峰墅,10,15,102.9,63
Taipei-city,大安區,信義路二段１３４號,信義華府,20,43,102.8,52
Taipei-city,大安區,信義路二段８６巷２７號,中正豪園,30,44,102.7,80
Taipei-city,大安區,仁愛路四段１１５號,陛廈,32,50,102.6,71
Taipei-city,松山區,南京東路四段５２巷８號,敦悅,13,22,102.5,35
Taipei-city,中正區,杭州北路１８號,國泰賦格,8,24,102.5,None
Taipei-city,大安區,光復南路２４２號,光復大廈,42,96,102.4,55
Taipei-city,大安區,永康街７巷１９號,信義新象,12,59,102.3,70
Taipei-city,內湖區,內湖路一段４１１巷６６號,長虹天璽,4,54,102.2,147
Taipei-city,信義區,忠孝東路五段２７５巷７弄２號,表參道,15,19,101.8,None
Taipei-city,大安區,羅斯福路三段//浦城街,耕曦,4,122,101.8,47
Taipei-city,大安區,和平東路一段１９９巷７號,大安青田,14,22,101.7,27
Taipei-city,中正區,羅斯福路二段８巷５號,謙邸,5,31,101.7,None
Taipei-city,信義區,仁愛路四段//光復南路,仁愛麗景,10,48,101.5,None
Taipei-city,大安區,羅斯福路二段８１巷８號,大安晶華,14,44,101.5,14
Taipei-city,大安區,潮州街６０巷７號,大安拙石,11,33,101.4,12
Taipei-city,信義區,忠孝東路五段３１巷１８弄１７號,無爭,12,19,101.4,17
Taipei-city,大安區,忠孝東路三段//建國南路一段,曼哈頓,12,76,101.2,110
Taipei-city,大安區,忠孝東路四段７０號,香苑,43,95,101.1,None
Taipei-city,中正區,羅斯福路二段８巷８號,中正菁英,9,50,101.1,None
Taipei-city,北投區,天母西路１１７巷３２弄５號,木蘭居-B座,4,14,101.1,None
Taipei-city,大安區,潮州街８４號,大安BINGO,11,42,101.1,12
Taipei-city,松山區,八德路三段２１８號,時尚高第,14,47,100.9,17
Taipei-city,大安區,新生南路三段１１巷１０號,大安御品,9,14,100.9,None
Taipei-city,大安區,和平東路二段７６巷２３弄６號,愛因斯坦,29,26,100.8,87
Taipei-city,大安區,和平東路二段１０７巷１８號,大安麗緻,11,23,100.7,12
Taipei-city,松山區,敦化北路１５５巷１００弄６號,潤泰敦品,21,68,100.6,120
Taipei-city,大安區,新生南路二段６０號,新生大樓,44,47,100.5,55
Taipei-city,信義區,基隆路一段１３１號,世貿國際商旅V1,14,441,100.3,None
Taipei-city,中正區,臨沂街４１號,仁愛葉慈,10,10,100.3,None
Taipei-city,大安區,仁愛路四段４１０號,中山仁愛,42,59,100.1,None
Taipei-city,士林區,中山北路七段８７號,國泰天母,6,35,100.1,None
Taipei-city,大安區,復興南路一段１０７巷５弄１號,大安鼎好,4,36,100,None
Taipei-city,大安區,潮州街５５巷３號,大安優閱,11,27,99.8,None
Taipei-city,大安區,忠孝東路四段３０５號,英倫大廈,44,116,99.4,22
Taipei-city,大安區,復興南路二段//四維路,復興安邑,15、32,19,99.4,None
Taipei-city,大安區,潮州街６０巷１０弄２號,錦繡金華,13,19,99.3,8
Taipei-city,大安區,和平東路一段１２１號,大安麗水,21,64,98.8,49
Taipei-city,信義區,松德路１９６號,信義錄,21,99,98.8,47
Taipei-city,大安區,仁愛路三段１１８巷１２弄８號,太子哈佛,44,81,98.8,47
Taipei-city,大安區,瑞安街２５６巷８號,大安布朗亨,12,18,98.6,67
Taipei-city,中山區,南京東路三段４８巷３６號,圓頂世紀會館,16,100,98.5,98
Taipei-city,大安區,羅斯福路三段２７５號,閱讀台大,12,40,98.5,38
Taipei-city,大安區,大安路一段１６巷１３號,大安晶采,21,78,98.4,22
Taipei-city,信義區,忠孝東路五段２３６巷２１號,國美信義花園,14,76,98.4,70
Taipei-city,大安區,敦化南路二段//敦化南路//四維路,藍天凱悅,35,225,98.3,57
Taipei-city,中山區,松江路//建國北路二段,新光桂冠,36,54,98.3,50
Taipei-city,中正區,仁愛路二段６號,禮藏,12,24,98.2,None
Taipei-city,中正區,臨沂街１２號,臨沂鴻禧,23,21,97.9,62
Taipei-city,大安區,羅斯福路三段２８３巷１４弄２之１號,台大御璽,11,6,97.9,None
Taipei-city,信義區,光復南路//基隆路二段,W110,12,267,97.9,20
Taipei-city,大安區,復興南路一段//敦化南路//大安路一段//忠孝東路四段,歌林大廈,44,75,97.8,None
Taipei-city,大安區,羅斯福路三段１７７號,師大卡第兒,15,51,97.8,None
Taipei-city,大安區,忠孝東路四段//敦化南路,華新大樓,43,109,97.7,None
Taipei-city,大安區,永康街７５巷７號,永康青田,13,12,97.7,None
Taipei-city,大安區,信義路三段３號,大安森活,23,21,97.6,34
Taipei-city,大安區,信義路三段４３號,信義大樓,32,67,97.6,45
Taipei-city,松山區,復興北路３１３巷４０號,德璞十九章,12,20,97.5,None
Taipei-city,大安區,仁愛路四段３８６號,仁愛三普,40,176,97.4,43
Taipei-city,大安區,仁愛路四段//大安路一段,宏欣大樓,42,26,97.4,None
Taipei-city,中山區,八德路二段３０９號,然花苑,2,40,97.2,None
Taipei-city,大安區,光復南路３９０號,永大花園大廈,42,58,97,None
Taipei-city,大安區,大安路二段６２號,大安薈館,11,96,96.9,33
Taipei-city,大安區,復興南路一段//復興南路//大安路一段,國泰景園大廈,47,130,96.8,30
Taipei-city,大安區,大安路二段１０８號,大安富豪,35,51,96.8,None
Taipei-city,大安區,安和路一段//仁愛路四段//安和路,國產實業仁愛華廈,36,28,96.8,None
Taipei-city,中正區,羅斯福路三段３１６巷３號,匯台大,8,43,96.8,None
Taipei-city,大安區,敦化南路一段//敦化南路,國泰一品大樓,42,91,96.6,83
Taipei-city,大安區,忠孝東路四段６０號,彩虹園,45,51,96.3,34
Taipei-city,中正區,南昌路一段７之１號,九昱小官邸,14,68,96.3,15
Taipei-city,大安區,忠孝東路四段３０８號,光復大樓,42,120,96.2,None
Taipei-city,中山區,長春路１５８號,力麒京王,13,38,96.2,83
Taipei-city,大安區,信義路三段１０２號,國際虹邦,39,97,96.1,30
Taipei-city,大安區,復興南路一段８５號,小雅名品大廈,33,49,96.1,27
Taipei-city,中山區,北安路６０８巷１０號,PARK 608,14,42,96.1,93
Taipei-city,大安區,和平東路一段２４８巷２號,師大林園,13,50,96,55
Taipei-city,大安區,信義路四段１６號,家美大廈,39,90,95.9,None
Taipei-city,松山區,南京東路四段２３號,青木淳,12,106,95.9,9
Taipei-city,大安區,仁愛路四段１１０號,老爺大廈,47,86,95.8,60
Taipei-city,大安區,忠孝東路四段//復興南路一段,仁愛御品,10,29,95.8,None
Taipei-city,大安區,光復南路２９０巷２６號,國硯,8,45,95.8,None
Taipei-city,大安區,仁愛路四段２７巷４弄６號,家齊大廈,42,14,95.7,None
Taipei-city,大安區,仁愛路四段６２號,亞洲大廈,43,209,95.7,None
